Fed List and DJN Total,Zip Code,ex_Name,ex_AREA,ex_PERIMETER,ex_ZT36_D00_,ex_ZT36_D00_I,ex_ZCTA,ex_LSAD,ex_LSAD_TRANS,geometry
307,10577,10577,0.0019,0.21652,1828,1827,10577,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.704229,41.054993,0.0 -73.700261,41.052087,0.0 -73.695789,41.042642,0.0 -73.690189,41.039064,0.0 -73.688969,41.02852,0.0 -73.689381,41.026506,0.0 -73.691731,41.025659,0.0 -73.694859,41.022417,0.0 -73.695622,41.018411,0.0 -73.694981,41.018022,0.0 -73.692478,41.006899,0.0 -73.692829,41.004633,0.0 -73.693287,41.005304,0.0 -73.696201,41.008218,0.0 -73.704167,41.012903,0.0 -73.707326,41.013704,0.0 -73.717397,41.013902,0.0 -73.71552,41.019083,0.0 -73.717794,41.021547,0.0 -73.722341,41.023584,0.0 -73.724095,41.025407,0.0 -73.725362,41.027948,0.0 -73.725255,41.03055,0.0 -73.730975,41.025297,0.0 -73.730675,41.024697,0.0 -73.736775,41.028297,0.0 -73.742483,41.030862,0.0 -73.743887,41.03103,0.0 -73.741156,41.037607,0.0 -73.73725,41.049608,0.0 -73.736441,41.050897,0.0 -73.732763,41.054123,0.0 -73.725363,41.053765,0.0 -73.720405,41.064431,0.0 -73.718862,41.069039,0.0 -73.718572,41.072007,0.0 -73.707219,41.072671,0.0 -73.706288,41.072266,0.0 -73.704518,41.066132,0.0 -73.706151,41.058091,0.0 -73.704229,41.054993,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
11,10578,10578,0.00055,0.10704,1748,1747,10578,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.682698,41.297354,0.0 -73.686681,41.30107,0.0 -73.688329,41.304411,0.0 -73.68868,41.313445,0.0 -73.69103,41.315543,0.0 -73.687963,41.320555,0.0 -73.685445,41.328001,0.0 -73.676152,41.33399,0.0 -73.671743,41.334998,0.0 -73.670934,41.334822,0.0 -73.670522,41.330534,0.0 -73.666645,41.327811,0.0 -73.661945,41.325896,0.0 -73.662006,41.32421,0.0 -73.660587,41.323378,0.0 -73.660603,41.322936,0.0 -73.663365,41.320097,0.0 -73.668172,41.31832,0.0 -73.671117,41.312827,0.0 -73.673925,41.311224,0.0 -73.677983,41.30799,0.0 -73.678807,41.306174,0.0 -73.678929,41.304533,0.0 -73.678044,41.303244,0.0 -73.678456,41.302016,0.0 -73.682744,41.299467,0.0 -73.682149,41.298499,0.0 -73.682698,41.297354,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
692,10580,10580,0.00244,0.27545,2321,2320,10580,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.717397,41.013902,0.0 -73.707326,41.013704,0.0 -73.704167,41.012903,0.0 -73.696201,41.008218,0.0 -73.693287,41.005304,0.0 -73.694462,41.004419,0.0 -73.685073,40.997697,0.0 -73.672972,40.990597,0.0 -73.673872,40.989297,0.0 -73.668472,40.987197,0.0 -73.666572,40.987497,0.0 -73.662972,40.986697,0.0 -73.667672,40.981997,0.0 -73.667171,40.978797,0.0 -73.662872,40.977997,0.0 -73.661072,40.976097,0.0 -73.661572,40.975697,0.0 -73.666972,40.975897,0.0 -73.672172,40.975398,0.0 -73.672772,40.974298,0.0 -73.674772,40.964198,0.0 -73.675305,40.963694,0.0 -73.678073,40.962798,0.0 -73.679225,40.959739,0.0 -73.683273,40.948998,0.0 -73.686473,40.945198,0.0 -73.697974,40.939598,0.0 -73.711732,40.935221,0.0 -73.715774,40.958998,0.0 -73.712774,40.962398,0.0 -73.708474,40.964798,0.0 -73.703974,40.971498,0.0 -73.703374,40.972698,0.0 -73.703774,40.974598,0.0 -73.706174,40.974398,0.0 -73.702032,40.980465,0.0 -73.704076,40.981638,0.0 -73.709369,40.986532,0.0 -73.711141,40.990121,0.0 -73.712453,40.991624,0.0 -73.719136,40.994936,0.0 -73.725591,40.999475,0.0 -73.725667,41.000055,0.0 -73.720586,41.004686,0.0 -73.717275,41.013567,0.0 -73.721532,41.013872,0.0 -73.724019,41.014795,0.0 -73.724874,41.015497,0.0 -73.724322,41.015886,0.0 -73.717397,41.013902,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
4081,10583,10583,0.00345,0.35466,2320,2319,10583,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.824808,41.017546,0.0 -73.827401,41.01433,0.0 -73.827112,41.012033,0.0 -73.814675,41.01259,0.0 -73.811882,41.013971,0.0 -73.808519,41.012233,0.0 -73.804416,41.008739,0.0 -73.799996,41.008272,0.0 -73.795477,41.009697,0.0 -73.786376,41.019797,0.0 -73.784076,41.020897,0.0 -73.778876,41.014897,0.0 -73.771808,41.008553,0.0 -73.769776,41.003697,0.0 -73.767076,41.000497,0.0 -73.764176,40.998597,0.0 -73.757576,40.995297,0.0 -73.750675,40.992597,0.0 -73.746475,40.988497,0.0 -73.745475,40.986498,0.0 -73.745775,40.984698,0.0 -73.745375,40.982098,0.0 -73.744775,40.980398,0.0 -73.754697,40.971631,0.0 -73.751571,40.969354,0.0 -73.758776,40.962898,0.0 -73.760276,40.960198,0.0 -73.762676,40.957828,0.0 -73.767476,40.959698,0.0 -73.771576,40.955698,0.0 -73.775476,40.976398,0.0 -73.778376,40.974898,0.0 -73.783976,40.973198,0.0 -73.787076,40.973498,0.0 -73.790177,40.973198,0.0 -73.79237,40.971624,0.0 -73.796477,40.965598,0.0 -73.797077,40.963998,0.0 -73.797677,40.964798,0.0 -73.802477,40.964298,0.0 -73.802277,40.962698,0.0 -73.802577,40.961998,0.0 -73.803777,40.962398,0.0 -73.804277,40.963298,0.0 -73.805477,40.964298,0.0 -73.806377,40.964598,0.0 -73.808077,40.964598,0.0 -73.809077,40.965698,0.0 -73.808177,40.967798,0.0 -73.806977,40.969798,0.0 -73.808777,40.970998,0.0 -73.809977,40.968098,0.0 -73.810777,40.963998,0.0 -73.812877,40.964598,0.0 -73.812677,40.966098,0.0 -73.813977,40.967298,0.0 -73.816077,40.968598,0.0 -73.816539,40.968772,0.0 -73.815777,40.972498,0.0 -73.813677,40.976498,0.0 -73.813477,40.978398,0.0 -73.813877,40.979398,0.0 -73.815477,40.979598,0.0 -73.819477,40.977698,0.0 -73.822477,40.974598,0.0 -73.822677,40.973398,0.0 -73.824578,40.975298,0.0 -73.822277,40.983397,0.0 -73.821777,40.986697,0.0 -73.825277,40.986197,0.0 -73.829178,40.982098,0.0 -73.830978,40.981598,0.0 -73.833478,40.985197,0.0 -73.835153,40.986208,0.0 -73.839178,40.984297,0.0 -73.845978,40.983397,0.0 -73.843957,40.986131,0.0 -73.842965,40.989488,0.0 -73.842157,40.997202,0.0 -73.838678,41.000997,0.0 -73.835687,41.00374,0.0 -73.829473,41.013681,0.0 -73.824808,41.017546,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
21,10588,10588,0.00057,0.15113,1741,1740,10588,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.79725,41.340665,0.0 -73.799478,41.335615,0.0 -73.801187,41.333814,0.0 -73.801828,41.333547,0.0 -73.805063,41.335058,0.0 -73.810861,41.332578,0.0 -73.815561,41.332281,0.0 -73.81721,41.331212,0.0 -73.824473,41.323301,0.0 -73.826853,41.318769,0.0 -73.826884,41.316816,0.0 -73.824213,41.313535,0.0 -73.823664,41.312009,0.0 -73.824305,41.307882,0.0 -73.83375,41.303571,0.0 -73.83433,41.312093,0.0 -73.83346,41.316335,0.0 -73.832886,41.324676,0.0 -73.833155,41.326436,0.0 -73.838084,41.326711,0.0 -73.844416,41.328214,0.0 -73.841715,41.336301,0.0 -73.8155,41.338865,0.0 -73.79725,41.340665,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
535,10589,10589,0.00223,0.30235,1738,1737,10589,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.694478,41.351416,0.0 -73.672139,41.353804,0.0 -73.669866,41.351592,0.0 -73.667393,41.350119,0.0 -73.663578,41.34548,0.0 -73.659001,41.336729,0.0 -73.663349,41.328268,0.0 -73.66341,41.327055,0.0 -73.661945,41.325896,0.0 -73.666645,41.327811,0.0 -73.670522,41.330534,0.0 -73.670934,41.334822,0.0 -73.671743,41.334998,0.0 -73.676152,41.33399,0.0 -73.685445,41.328001,0.0 -73.687963,41.320555,0.0 -73.69103,41.315543,0.0 -73.68868,41.313445,0.0 -73.688329,41.304411,0.0 -73.686681,41.30107,0.0 -73.682698,41.297354,0.0 -73.682576,41.296332,0.0 -73.684621,41.295401,0.0 -73.688848,41.297934,0.0 -73.694082,41.297972,0.0 -73.695013,41.2993,0.0 -73.694906,41.302657,0.0 -73.694311,41.303648,0.0 -73.69309,41.304091,0.0 -73.693257,41.305518,0.0 -73.696264,41.305113,0.0 -73.69837,41.302756,0.0 -73.698248,41.300635,0.0 -73.697607,41.299742,0.0 -73.696676,41.298987,0.0 -73.694845,41.298499,0.0 -73.701544,41.299132,0.0 -73.704721,41.298959,0.0 -73.707121,41.30749,0.0 -73.712007,41.307753,0.0 -73.716162,41.307021,0.0 -73.717276,41.313277,0.0 -73.716803,41.318633,0.0 -73.71897,41.318945,0.0 -73.73046,41.317961,0.0 -73.729377,41.320188,0.0 -73.730018,41.320844,0.0 -73.732963,41.321615,0.0 -73.736259,41.335706,0.0 -73.73455,41.33727,0.0 -73.733665,41.334684,0.0 -73.731315,41.332425,0.0 -73.72344,41.327146,0.0 -73.721503,41.326262,0.0 -73.719626,41.326231,0.0 -73.721335,41.336065,0.0 -73.722388,41.33727,0.0 -73.722449,41.338018,0.0 -73.721625,41.343603,0.0 -73.719626,41.348836,0.0 -73.694478,41.351416,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
216,10590,10590,0.00432,0.38739,1757,1756,10590,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.593462,41.310378,0.0 -73.584871,41.311133,0.0 -73.584581,41.307188,0.0 -73.585283,41.306128,0.0 -73.585573,41.302443,0.0 -73.571092,41.304755,0.0 -73.549878,41.301911,0.0 -73.550961,41.295422,0.0 -73.518384,41.256719,0.0 -73.482709,41.21276,0.0 -73.509487,41.200814,0.0 -73.513892,41.19877,0.0 -73.524437,41.214844,0.0 -73.542725,41.235565,0.0 -73.54808,41.241249,0.0 -73.550064,41.240669,0.0 -73.552521,41.241821,0.0 -73.554383,41.243774,0.0 -73.55269,41.246665,0.0 -73.560334,41.257881,0.0 -73.56569,41.261383,0.0 -73.566575,41.261383,0.0 -73.568437,41.265655,0.0 -73.568955,41.268577,0.0 -73.571641,41.273017,0.0 -73.57689,41.275755,0.0 -73.580095,41.276205,0.0 -73.58069,41.275099,0.0 -73.583132,41.274969,0.0 -73.593098,41.277923,0.0 -73.594912,41.283652,0.0 -73.594164,41.287856,0.0 -73.593401,41.288046,0.0 -73.588671,41.288176,0.0 -73.585741,41.284499,0.0 -73.582247,41.285956,0.0 -73.584871,41.290961,0.0 -73.587099,41.291808,0.0 -73.595568,41.290846,0.0 -73.598894,41.29624,0.0 -73.598955,41.297179,0.0 -73.594393,41.302054,0.0 -73.593874,41.30435,0.0 -73.593935,41.309935,0.0 -73.593462,41.310378,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
470,10591,10591,0.00258,0.31572,1809,1808,10591,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.869547,41.106756,0.0 -73.869398,41.110064,0.0 -73.859965,41.109961,0.0 -73.851954,41.108086,0.0 -73.842249,41.107941,0.0 -73.840266,41.108658,0.0 -73.835825,41.112626,0.0 -73.831659,41.114617,0.0 -73.831018,41.114037,0.0 -73.830377,41.112923,0.0 -73.836756,41.105645,0.0 -73.837519,41.103806,0.0 -73.83793,41.097794,0.0 -73.836984,41.096528,0.0 -73.833902,41.09581,0.0 -73.8332,41.096482,0.0 -73.835061,41.097489,0.0 -73.834421,41.098382,0.0 -73.830057,41.10151,0.0 -73.824823,41.10389,0.0 -73.822717,41.106179,0.0 -73.821496,41.108521,0.0 -73.821542,41.112671,0.0 -73.817972,41.120605,0.0 -73.814416,41.12342,0.0 -73.810907,41.123916,0.0 -73.808618,41.118621,0.0 -73.807748,41.114472,0.0 -73.805581,41.108872,0.0 -73.80845,41.107941,0.0 -73.81138,41.105958,0.0 -73.8126,41.103005,0.0 -73.812082,41.101151,0.0 -73.812143,41.098298,0.0 -73.813135,41.097008,0.0 -73.816934,41.095055,0.0 -73.819803,41.092949,0.0 -73.824777,41.085045,0.0 -73.826639,41.083329,0.0 -73.829339,41.081879,0.0 -73.834543,41.077775,0.0 -73.835,41.077065,0.0 -73.835,41.075211,0.0 -73.833429,41.07129,0.0 -73.830087,41.069863,0.0 -73.82876,41.068764,0.0 -73.82628,41.064994,0.0 -73.824797,41.06055,0.0 -73.836496,41.057305,0.0 -73.838235,41.057625,0.0 -73.839915,41.05867,0.0 -73.844678,41.060596,0.0 -73.844964,41.054589,0.0 -73.851993,41.054906,0.0 -73.852097,41.050628,0.0 -73.851379,41.048296,0.0 -73.853879,41.047696,0.0 -73.861479,41.048296,0.0 -73.862803,41.048798,0.0 -73.862452,41.053414,0.0 -73.862986,41.056557,0.0 -73.865432,41.059715,0.0 -73.869279,41.060496,0.0 -73.865579,41.077296,0.0 -73.866779,41.077096,0.0 -73.866979,41.076096,0.0 -73.869579,41.075596,0.0 -73.873759,41.085839,0.0 -73.873866,41.08725,0.0 -73.871165,41.096367,0.0 -73.870432,41.103112,0.0 -73.869547,41.106756,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
53,10594,10594,0.0008,0.1441,1805,1804,10594,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.794106,41.114556,0.0 -73.786339,41.119759,0.0 -73.77816,41.129249,0.0 -73.77665,41.133094,0.0 -73.774025,41.133499,0.0 -73.769598,41.13231,0.0 -73.751045,41.121056,0.0 -73.747306,41.117562,0.0 -73.750758,41.109835,0.0 -73.751914,41.113267,0.0 -73.752433,41.113625,0.0 -73.762809,41.113343,0.0 -73.763908,41.098549,0.0 -73.776955,41.097085,0.0 -73.776741,41.103936,0.0 -73.775749,41.106728,0.0 -73.782452,41.110412,0.0 -73.782479,41.112069,0.0 -73.788857,41.112168,0.0 -73.789681,41.111382,0.0 -73.789546,41.110904,0.0 -73.794106,41.114556,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
102,10595,10595,0.00149,0.28152,1812,1811,10595,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.789546,41.110904,0.0 -73.789681,41.111382,0.0 -73.788857,41.112168,0.0 -73.782479,41.112069,0.0 -73.782452,41.110412,0.0 -73.775749,41.106728,0.0 -73.776741,41.103936,0.0 -73.776955,41.097085,0.0 -73.763908,41.098549,0.0 -73.762809,41.113343,0.0 -73.752433,41.113625,0.0 -73.751914,41.113267,0.0 -73.750758,41.109835,0.0 -73.752662,41.107606,0.0 -73.752891,41.103287,0.0 -73.756736,41.096695,0.0 -73.764793,41.093194,0.0 -73.769447,41.089928,0.0 -73.770576,41.091698,0.0 -73.7714,41.092103,0.0 -73.773293,41.086342,0.0 -73.772239,41.08268,0.0 -73.769355,41.076066,0.0 -73.766868,41.074059,0.0 -73.768546,41.068932,0.0 -73.77349,41.061562,0.0 -73.7799,41.065926,0.0 -73.782585,41.070649,0.0 -73.799889,41.073319,0.0 -73.806832,41.076088,0.0 -73.818277,41.076752,0.0 -73.820215,41.087571,0.0 -73.820337,41.090966,0.0 -73.818048,41.093422,0.0 -73.809793,41.096032,0.0 -73.807351,41.095315,0.0 -73.805034,41.093599,0.0 -73.80291,41.087304,0.0 -73.800391,41.088174,0.0 -73.801674,41.089539,0.0 -73.802605,41.095055,0.0 -73.794197,41.096474,0.0 -73.793175,41.092721,0.0 -73.79197,41.090554,0.0 -73.791161,41.089394,0.0 -73.788765,41.087639,0.0 -73.784126,41.089417,0.0 -73.785652,41.097252,0.0 -73.78788,41.103615,0.0 -73.788979,41.105324,0.0 -73.789546,41.110904,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
46,10597,10597,0.00053,0.12366,1758,1757,10597,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.593462,41.310378,0.0 -73.593935,41.309935,0.0 -73.593874,41.30435,0.0 -73.594393,41.302054,0.0 -73.598955,41.297179,0.0 -73.598894,41.29624,0.0 -73.595568,41.290846,0.0 -73.587099,41.291808,0.0 -73.584871,41.290961,0.0 -73.582247,41.285956,0.0 -73.585741,41.284499,0.0 -73.588671,41.288176,0.0 -73.593401,41.288046,0.0 -73.594164,41.287856,0.0 -73.594912,41.283652,0.0 -73.612399,41.281607,0.0 -73.612674,41.282988,0.0 -73.611865,41.290465,0.0 -73.611682,41.291502,0.0 -73.612628,41.293875,0.0 -73.614734,41.295935,0.0 -73.615665,41.297865,0.0 -73.614566,41.302931,0.0 -73.613681,41.308417,0.0 -73.593462,41.310378,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
737,10598,10598,0.00722,0.55858,1739,1738,10598,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.787988,41.341771,0.0 -73.752876,41.345365,0.0 -73.752769,41.343732,0.0 -73.754524,41.343503,0.0 -73.754813,41.342656,0.0 -73.75405,41.339528,0.0 -73.751733,41.337886,0.0 -73.740565,41.338002,0.0 -73.73455,41.33727,0.0 -73.736259,41.335706,0.0 -73.732963,41.321615,0.0 -73.730018,41.320844,0.0 -73.729377,41.320188,0.0 -73.73046,41.317961,0.0 -73.730308,41.319661,0.0 -73.731315,41.320493,0.0 -73.735358,41.321798,0.0 -73.741065,41.322309,0.0 -73.741477,41.322004,0.0 -73.744758,41.318853,0.0 -73.750343,41.317914,0.0 -73.751807,41.31796,0.0 -73.757515,41.323636,0.0 -73.760094,41.32723,0.0 -73.760384,41.329587,0.0 -73.762749,41.332143,0.0 -73.767861,41.336316,0.0 -73.773384,41.338361,0.0 -73.779427,41.337247,0.0 -73.773522,41.304029,0.0 -73.767586,41.305234,0.0 -73.763665,41.307935,0.0 -73.760674,41.308858,0.0 -73.759728,41.303638,0.0 -73.759484,41.299917,0.0 -73.764061,41.299283,0.0 -73.76664,41.297872,0.0 -73.767586,41.296666,0.0 -73.767052,41.292104,0.0 -73.768471,41.286383,0.0 -73.770211,41.286024,0.0 -73.768898,41.278304,0.0 -73.764778,41.252783,0.0 -73.760765,41.23815,0.0 -73.763649,41.236411,0.0 -73.771187,41.229552,0.0 -73.77137,41.227988,0.0 -73.77253,41.227416,0.0 -73.776558,41.227995,0.0 -73.780896,41.231044,0.0 -73.785818,41.233648,0.0 -73.794517,41.235079,0.0 -73.797772,41.234891,0.0 -73.804681,41.238783,0.0 -73.80868,41.238203,0.0 -73.811869,41.238287,0.0 -73.8231,41.241469,0.0 -73.820856,41.243384,0.0 -73.820155,41.24584,0.0 -73.820261,41.24713,0.0 -73.821711,41.248366,0.0 -73.829829,41.242896,0.0 -73.835505,41.237509,0.0 -73.838985,41.235991,0.0 -73.840038,41.236441,0.0 -73.847667,41.251761,0.0 -73.845119,41.25495,0.0 -73.840602,41.257864,0.0 -73.839855,41.259726,0.0 -73.842052,41.259497,0.0 -73.845073,41.257712,0.0 -73.847957,41.256895,0.0 -73.852199,41.278196,0.0 -73.850627,41.279477,0.0 -73.84373,41.281774,0.0 -73.840373,41.281339,0.0 -73.838282,41.282125,0.0 -73.843242,41.289213,0.0 -73.840845,41.289251,0.0 -73.833628,41.290975,0.0 -73.82284,41.299199,0.0 -73.82255,41.29955,0.0 -73.824244,41.303747,0.0 -73.824305,41.307882,0.0 -73.823664,41.312009,0.0 -73.824213,41.313535,0.0 -73.826884,41.316816,0.0 -73.826853,41.318769,0.0 -73.824473,41.323301,0.0 -73.81721,41.331212,0.0 -73.815561,41.332281,0.0 -73.803766,41.328878,0.0 -73.80137,41.327184,0.0 -73.789743,41.335615,0.0 -73.790918,41.337346,0.0 -73.787988,41.341771,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
349,10601,10601,0.00032,0.09964,1837,1836,10601,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.775076,41.031797,0.0 -73.774976,41.036197,0.0 -73.773976,41.036697,0.0 -73.770976,41.037697,0.0 -73.766176,41.038397,0.0 -73.764476,41.036197,0.0 -73.759576,41.037997,0.0 -73.759276,41.039097,0.0 -73.755076,41.037197,0.0 -73.752376,41.031097,0.0 -73.749976,41.028797,0.0 -73.743775,41.025597,0.0 -73.741075,41.022397,0.0 -73.742901,41.021863,0.0 -73.757376,41.019097,0.0 -73.758276,41.024097,0.0 -73.757876,41.026797,0.0 -73.758776,41.029397,0.0 -73.762176,41.029097,0.0 -73.762376,41.028397,0.0 -73.769776,41.024797,0.0 -73.770876,41.024397,0.0 -73.772376,41.031997,0.0 -73.775076,41.031797,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
310,10603,10603,0.00134,0.21681,1823,1822,10603,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.7611,41.075371,0.0 -73.759406,41.076317,0.0 -73.759223,41.081009,0.0 -73.757484,41.082604,0.0 -73.7555,41.082604,0.0 -73.751487,41.080926,0.0 -73.750602,41.079209,0.0 -73.752586,41.07885,0.0 -73.752128,41.074387,0.0 -73.750663,41.068589,0.0 -73.752576,41.060796,0.0 -73.757476,41.054196,0.0 -73.758776,41.053396,0.0 -73.766076,41.053796,0.0 -73.765476,41.049197,0.0 -73.764376,41.045597,0.0 -73.761276,41.039997,0.0 -73.759276,41.039097,0.0 -73.759576,41.037997,0.0 -73.764476,41.036197,0.0 -73.766176,41.038397,0.0 -73.770976,41.037697,0.0 -73.773976,41.036697,0.0 -73.774976,41.036197,0.0 -73.775076,41.031797,0.0 -73.777976,41.037997,0.0 -73.777839,41.043329,0.0 -73.780631,41.042719,0.0 -73.787361,41.043123,0.0 -73.792946,41.045908,0.0 -73.799843,41.04661,0.0 -73.799843,41.047456,0.0 -73.801977,41.050596,0.0 -73.805369,41.058204,0.0 -73.805162,41.060132,0.0 -73.804463,41.060036,0.0 -73.804735,41.059067,0.0 -73.803143,41.058376,0.0 -73.80053,41.05951,0.0 -73.799523,41.070611,0.0 -73.799889,41.073319,0.0 -73.782585,41.070649,0.0 -73.7799,41.065926,0.0 -73.77349,41.061562,0.0 -73.768546,41.068932,0.0 -73.766868,41.074059,0.0 -73.763892,41.073311,0.0 -73.762538,41.075719,0.0 -73.761794,41.07553,0.0 -73.7611,41.075371,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
183,10604,10604,0.00021,0.0926,1818,1817,10604,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.718572,41.072007,0.0 -73.71781,41.082215,0.0 -73.716875,41.087596,0.0 -73.694671,41.059794,0.0 -73.704229,41.054993,0.0 -73.706151,41.058091,0.0 -73.704518,41.066132,0.0 -73.706288,41.072266,0.0 -73.707219,41.072671,0.0 -73.718572,41.072007,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1465,10605,10605,0.00137,0.20085,1843,1842,10605,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.730675,41.024697,0.0 -73.730975,41.025297,0.0 -73.729175,41.023397,0.0 -73.725974,41.017797,0.0 -73.724322,41.015886,0.0 -73.724874,41.015497,0.0 -73.724019,41.014795,0.0 -73.721532,41.013872,0.0 -73.717275,41.013567,0.0 -73.720586,41.004686,0.0 -73.725667,41.000055,0.0 -73.726474,41.000097,0.0 -73.727674,40.999097,0.0 -73.729875,40.995297,0.0 -73.735675,40.991297,0.0 -73.736775,40.987897,0.0 -73.738575,40.985698,0.0 -73.741175,40.983798,0.0 -73.744375,40.982598,0.0 -73.745375,40.982098,0.0 -73.745775,40.984698,0.0 -73.745475,40.986498,0.0 -73.746475,40.988497,0.0 -73.750675,40.992597,0.0 -73.757576,40.995297,0.0 -73.764176,40.998597,0.0 -73.763476,41.000097,0.0 -73.762076,41.007097,0.0 -73.764476,41.006597,0.0 -73.767676,41.013197,0.0 -73.768376,41.014897,0.0 -73.768576,41.019297,0.0 -73.767976,41.021997,0.0 -73.769776,41.024797,0.0 -73.762376,41.028397,0.0 -73.762176,41.029097,0.0 -73.758776,41.029397,0.0 -73.757876,41.026797,0.0 -73.758276,41.024097,0.0 -73.757376,41.019097,0.0 -73.742901,41.021863,0.0 -73.741075,41.022397,0.0 -73.743775,41.025597,0.0 -73.749976,41.028797,0.0 -73.749776,41.031097,0.0 -73.742175,41.029497,0.0 -73.739875,41.027697,0.0 -73.739075,41.022897,0.0 -73.731075,41.024297,0.0 -73.730675,41.024697,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
350,10606,10606,0.00044,0.11197,1840,1839,10606,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.785277,41.035097,0.0 -73.788063,41.035181,0.0 -73.788597,41.035806,0.0 -73.786904,41.036951,0.0 -73.780176,41.038097,0.0 -73.777976,41.037997,0.0 -73.775076,41.031797,0.0 -73.772376,41.031997,0.0 -73.770876,41.024397,0.0 -73.769776,41.024797,0.0 -73.767976,41.021997,0.0 -73.768576,41.019297,0.0 -73.768376,41.014897,0.0 -73.767676,41.013197,0.0 -73.764476,41.006597,0.0 -73.762076,41.007097,0.0 -73.763476,41.000097,0.0 -73.764176,40.998597,0.0 -73.767076,41.000497,0.0 -73.769776,41.003697,0.0 -73.771808,41.008553,0.0 -73.778876,41.014897,0.0 -73.784076,41.020897,0.0 -73.78765,41.025028,0.0 -73.789777,41.028997,0.0 -73.785277,41.035097,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
177,10607,10607,0.0008,0.18762,1835,1834,10607,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.777976,41.037997,0.0 -73.780176,41.038097,0.0 -73.786904,41.036951,0.0 -73.788597,41.035806,0.0 -73.788063,41.035181,0.0 -73.785277,41.035097,0.0 -73.792092,41.033586,0.0 -73.810128,41.031831,0.0 -73.810646,41.036874,0.0 -73.818352,41.036035,0.0 -73.819101,41.035852,0.0 -73.820978,41.033388,0.0 -73.821328,41.028062,0.0 -73.82688,41.027152,0.0 -73.838952,41.026201,0.0 -73.843438,41.025797,0.0 -73.843316,41.02646,0.0 -73.840341,41.028444,0.0 -73.836145,41.028841,0.0 -73.836496,41.031007,0.0 -73.839578,41.031221,0.0 -73.84321,41.027345,0.0 -73.840341,41.034845,0.0 -73.837427,41.03885,0.0 -73.836496,41.04178,0.0 -73.835031,41.043726,0.0 -73.833337,41.044244,0.0 -73.827325,41.044466,0.0 -73.822961,41.048691,0.0 -73.817478,41.048996,0.0 -73.817178,41.047997,0.0 -73.807577,41.046197,0.0 -73.799843,41.04661,0.0 -73.792946,41.045908,0.0 -73.787361,41.043123,0.0 -73.780631,41.042719,0.0 -73.777839,41.043329,0.0 -73.777976,41.037997,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
